on_number,hawaiian_phrase,english_phrase,meaning_phrase,headword_link,source_link
632,He ʻimi haku.,A person who seeks a lord.,Priests and others were known to go in search of a worthy chief to serve.,haw-h.htm#haku,ON-conc-h-full.htm
633,He imu pale ʻole; huikau ka nohona.,An uncovered oven; abiding in confusion.,"Like an imu in which each kind of food is not set apart in its own place, but piled in helter skelter, so is a promiscuous and careless family.",haw-h.htm#huikau,ON-conc-h-full.htm
634,He imu puhi na ka lā o Kalaʻe.,Kalaʻe is made a steaming oven by the sun.,"At Kalaʻe, Molokaʻi, stood an imu that was said to have baked the rain, making it a dry place.",haw-i.htm#imu,ON-conc-i-full.htm
635,He ʻīnaʻi na ka wela a ka lā.,Meat consumed by the heat of the sun.,Said of one who has a severe case of sunburn.,haw-i.htm#inai,ON-conc-i-full.htm
636,He ʻiniki me ka wawalu ka ʻeha a kamaliʻi.,All the hurt that a child can infict is by pinching and scratching.,An expression of ridicule said to or of one considered to be no stronger than a child.,haw-e.htm#eha,ON-conc-e-full.htm
637,He inoa ʻala.,A fragrant name.,Said of a chief whose reputation is good.,haw-a.htm#ala,ON-conc-a-full.htm
638,"He ʻio au, ʻaʻohe lālā kau ʻole.",I am a hawk; there is no branch on which I cannot perch.,I can go anywhere I please; I am a chief.,haw-i.htm#io,ON-conc-i-full.htm
639,"He ʻio au, he manu i ka lewa lani.","I am an ʻio, the bird that soars in the heavenly space.","A boast. The highest chiefs were often called ʻio (hawk), king of the Hawaiian birds.",haw-i.htm#io,ON-conc-i-full.htm
640,"He ʻio ʻoe, he ʻio au, he ʻio nā ʻānela o ke akua, kiʻi maila nō iā ʻoe a lawe.","You are a hawk, I am a hawk, and the angels of God are hawks.","Uttered by Hitchcock, a missionary, over the coffin of a sorcerer who had threatened to pray him to death and referred to himself as an ʻio, the bird that flies the highest.",haw-a.htm#anela,ON-conc-a-full.htm
641,He ʻio poʻi moa.,Chicken-catching hawk.,Said of a clever thief or of one who steals the sweetheart of another.,haw-i.htm#io,ON-conc-i-full.htm
642,He ipu hoʻoilina mai nā kupuna mai.,An inherited container from the remotest ancestress.,"Said of the womb, the container by which the family line continues.",haw-h.htm#hooilina,ON-conc-h-full.htm
643,He ipu kāʻeo.,A full calabash.,A knowledgeable person. Also expressed ʻUmeke kaeo.,haw-i.htm#ipu,ON-conc-i-full.htm
644,He ipu pala ʻole.,A calabash without a dah [of poi ] in it.,An ignoramus. Also expressed ʻUmeke pala ʻole.,haw-i.htm#ipu,ON-conc-i-full.htm
645,He ʻiwa hoʻohaehae nāulu.,An ʻiwa that teases the rain clouds.,A beautiful maiden or handsome youth who rouses jealous envy in others.,haw-h.htm#hoohaehae,ON-conc-h-full.htm
646,He iwi koko.,Blooded bones.,A living person.,haw-k.htm#koko,ON-conc-k-full.htm
647,He iwi koko ʻole.,Bloodless bones.,A dead person.,haw-k.htm#koko,ON-conc-k-full.htm
648,He iwi maloʻo.,Dried bones.,"Said of one long dead. Sometimes when it was felt that a dead person was the cause of trouble for a living one, the kahuna or person in charge would so refer to the deceased.",haw-m.htm#maloo,ON-conc-m-full.htm
649,He kāʻeʻaʻeʻa pulu ʻole no ka heʻe nalu.,An expert on the surfboard who does not get wet.,Praise of an outstanding surfer.,haw-h.htm#hee,ON-conc-h-full.htm
650,"He kaha luʻu ke ala, mai hoʻokolo aku.",The trail leads to a diving place; do not follow after.,A warning to leave well enough alone.,haw-h.htm#hookolo,ON-conc-h-full.htm
651,He kāhiko hoʻokahakaha nō ia kula.,"Finery belonging to the plain, put on display.","Said of a place when the blooming season arrives, or of a person dressed in fine array.",haw-h.htm#hookahakaha,ON-conc-h-full.htm
652,He kai ʻaʻai ko Kaʻaʻawa.,Kaʻaʻawa has a sea that wears away the land.,Said of a person whose loyalty is doubtful — he can be swayed to desert his chief.,haw-a.htm#aai,ON-conc-a-full.htm
653,He kai ʻāhiu ko Kahana.,A wild sea has Kahana.,"Refers to Kahana, Oʻahu.",haw-a.htm#ahiu,ON-conc-a-full.htm
654,He kai ʻalamihi ko Leleiwi.,A sea for black crabs has Leleiwi.,Leleiwi Point in Hilo was said to be a good place to find ʻalamihi.,haw-a.htm#alamihi,ON-conc-a-full.htm
655,He kai heʻe nalu ko Kahaloa.,Kahaloa has a sea for surfng.,Also said of the rain of Hilo.,haw-h.htm#hee,ON-conc-h-full.htm
656,He kai hele kohana ko Māmala.,A sea for going naked is at Māmala.,The entrance to Honolulu Harbor was known as Māmala. In time of war the people took off their clothes and traveled along the reef to avoid meeting the enemy on land.,haw-k.htm#kohana,ON-conc-k-full.htm
657,He kai hului ko Kālia.,A sea for fishing with a draw net is the sea of Kālia.,The water at Kālia is very shallow.,haw-h.htm#hului,ON-conc-h-full.htm
658,He kai kapu ia na ke konohiki.,A forbidden beach reserved for the konohiki.,A maiden who is spoken for.,haw-k.htm#kapu,ON-conc-k-full.htm
659,He kai lū lehua ko Panaʻewa.,Panaʻewa shakes down the lehua fringes into the sea.,"Once, when the forest of Panaʻewa extended to the sea, fringes of lehua blossoms were seen floating about in the water.",haw-l.htm#lehua,ON-conc-l-full.htm
660,He kai ʻō heʻe ko Kapapa.,A sea for octopus fishing has Kapapa.,"Refers to Kapapa, Oʻahu.",haw-k.htm#kapalulu,ON-conc-k-full.htm
661,"He kai puhi nehu, puhi lala ke kai o ʻEwa.","A sea that blows up nehu fish, blows up a quantity of them, is the sea of ʻEwa.","Said of an unkept promise of food, fish, etc. Oʻahu was once peopled by evil beings who invited canoe travelers ashore with promises of food and other things. When the travelers asked when these things were coming, this was the reply. When the visitors were fast asleep at night, the evil ones would creep in and kill them.",haw-e.htm#eueu,ON-conc-e-full.htm
662,"He kaikamahine ke keiki, ola nā iwi; ʻo ke keiki kāne he hānai mākua hūnōai.","A girl child brings life to the bones [of her parents], but a boy child supports his parents-in-law.","In old Hawaiʻi, a man went to live with his wife’s parents, while a woman remained with her own.",haw-h.htm#hunoai,ON-conc-h-full.htm
663,He kākalaioa.,A kākalaioa plant.,An unpleasant person. The kākalaioa (gray nickers) is a thorny plant.,haw-k.htm#kakalaioa,ON-conc-k-full.htm
664,"He Kākea, ka makani kulakulaʻi kauhale o Mānoa.","It is the Kākea, the wind that pushes over the houses of Mānoa.",Applied to one who goes about shoving others around. The Kākea was the strongest wind of the valley.,haw-k.htm#kake,ON-conc-k-full.htm
665,"He Kalaʻe au, he ʻaʻe kū.","I am a native of Kalaʻe, I step over.","Molokaʻi, who would not take second place to a visiting chief, no matter how much higher his rank. If a visiting chief lay down in his way, the Kalaʻe chief would step over him, disregarding the visitor’s kapu.",haw-a.htm#ae,ON-conc-a-full.htm
666,He kalo paʻa.,Unpounded taro.,A spinster or a bachelor.,haw-k.htm#kalo,ON-conc-k-full.htm
667,He kama na ka pueo.,Offspring of an owl.,"A child whose sire is unknown, so called because the owl flies at night.",haw-k.htm#kama,ON-conc-k-full.htm
668,He kanaka no ka malu kukui.,A person from the kukui tree shade.,A person of uncertain parentage; one who has in his veins the blood of chiefs as well as commoners. Similar to Kūkae pōpolo (Excreta of the pōpolo berries [that have been eaten]).,haw-k.htm#kukui,ON-conc-k-full.htm
669,He kanaka no kaulu hānai.,A man from the top of the cliff.,Praise of a hero.,haw-k.htm#kaulu,ON-conc-k-full.htm
670,He kāne ʻeha ʻole o ka ʻili.,A husband who does not inflict pain on his wife.,Said by a wife in appreciation for a husband who never beats her.,haw-e.htm#eha,ON-conc-e-full.htm
671,"He kanu Mahoemua, he kalo pūʻali.","When one plants in [the month of] Mahoemua, he will have irregularly shaped taro.","Said of an imperfect or defective task, or of a person whose ideas are “half-baked.”",haw-k.htm#kalo,ON-conc-k-full.htm
672,He kapa maloʻo wale ka ʻili.,The skin is a garment that dries easily.,Being wet is nothing to worry about.,haw-i.htm#ili,ON-conc-i-full.htm
673,He kāpili manu no ka uka o ʻŌlaʻa he pipili mamau i ka ua nui.,A birdcatching gum of the upland of ʻŌlaʻa that sticks and holds fast in the pouring rain.,Said of one who holds the interest and love of a sweetheart at all times.,haw-k.htm#kapili,ON-conc-k-full.htm
674,He kapu nā pōhaku hānau aliʻi.,A [sign of[ kapu are the stones at the birth of a chief.,The peal of thunder heralds the birth of a high chief. Thunder (pōhaku) was likened to the sound of stones rolling.,haw-k.htm#kapu,ON-conc-k-full.htm
675,He kaua kaikamahine.,A girl’s battle.,A battle that ends quickly. A kaua keikikāne (boy’s battle) requires a lot of skill and strength to bring it to an end.,haw-k.htm#kaikamahine,ON-conc-k-full.htm
676,"He kaua kamaliʻi, he hoʻohē wale.",A battle by children shows much fear.,"When fighting, children give up too soon and cry.",haw-h.htm#hoohe,ON-conc-h-full.htm
677,He kau auaneʻi i ka lae ʻaʻā.,Watch out lest the canoe land on a rocky reef.,Watch out for trouble.,haw-a.htm#aa,ON-conc-a-full.htm
678,He kauā ke kanaka na ke aloha.,Man is a slave of love.,Kāʻana is a place between Keaʻau and ʻŌlaʻa where travelers used to rest and make lei of lehua. It took many blossoms and much patience to complete a lei. The lei was later given to a loved one.,haw-k.htm#kaua,ON-conc-k-full.htm
679,He kawa ia naʻu i lele a ʻopu.,That is a diving place in which I dived without making a splash.,Said of something that is easy to do because one is accustomed to doing it.,haw-k.htm#kawa,ON-conc-k-full.htm
680,He kā waiho hoʻohemahema.,A bail left unnoticed.,"Said of one who could be of help because of his skill and knowledge but is overlooked, like an unused canoe bail.",haw-h.htm#hoohemahema,ON-conc-h-full.htm
681,He keʻa puaʻa maka ʻolelepā.,A fierce rooting hog.,A warrior fierce in battle.,haw-k.htm#kea,ON-conc-k-full.htm
682,He Keʻei ʻoe no lalo lilo.,"You are a person of Keʻei, from far below.","You are of no consequence. Two chiefesses peered into a pool together at Keʻei, in Kona, Hawaiʻi. The reflection of the one from Hanauma appeared above that of the one from Keʻei, so she made this remark.",haw-k.htm#keehi,ON-conc-k-full.htm
683,He kēhau hoʻomaʻemaʻe ke aloha.,Love is like cleansing dew.,Love removes hurt.,haw-h.htm#hoomaemae,ON-conc-h-full.htm
684,He keiki aloha nā mea kanu.,Beloved children are the plants.,"It is said of farmers that their plants are like beloved children, receiving much attention and care.",haw-k.htm#kanu,ON-conc-k-full.htm
685,"He keiki e nānā ana, he keiki e nānā ʻole ana.","One child may care, and another may not.",Said to one who raises a family — some may take care of the senior members of the family and some may not.,,ON/ON-conc-e.htm
686,He keiki kālai hoe na ka uka o Puʻukapele.,A paddle-making youth of Puuʻkapele.,"A complimentary expression. He who lives in the uplands, where good trees grow, can make good paddles Puʻukapele is a place above Waimea Canyon on Kauaʻi.",haw-h.htm#hoe,ON-conc-h-full.htm
687,He keiki kāmehaʻi.,A wonder child.,Said of a child whose father is unknown — people wonder who the sire is.,haw-k.htm#kamehai,ON-conc-k-full.htm
688,He keiki mea kupuna.,[It shows] that the child has a grandparent.,Said in admiration of a child whose grandparents show affection by making beautiful things for his use or compose songs and chants in his honor. A similar expression is He keiki mea makua: [It shows] that the child has a parent.,haw-k.htm#kupuna,ON-conc-k-full.htm
689,He kekē niho wale iho nō.,Just an exposing of teeth.,Just threats.,haw-k.htm#keke,ON-conc-k-full.htm
690,He keu a ka hoʻomaoe!,Such hinting!,"Said to a person who hinted his liking for another’s possessions; one was obliged to say, “Take it, I give it to you.” Such a hinting person was disliked, and favorite possessions were hidden away when he approached.",haw-h.htm#hoomaoe,ON-conc-h-full.htm
691,He keʻu na kaʻalae a Hina.,A croaking by Hina’s mudhen.,A warning of trouble. The cry of a mudhen at night is a warning of distress.,haw-h.htm#hina,ON-conc-h-full.htm
692,He kīhei loloa.,A long shoulder covering.,A person who gads about with no thought of going home. The speaker envisions a person constantly running with his cape fluttering high in the breeze.,haw-k.htm#kihei,ON-conc-k-full.htm
693,He kiʻi ke kanaka noho wale o kahi aliʻi.,Only an image sits [and does no work] in the household of a chief.,"In the house of a chief, everybody but the chief himself works.",haw-k.htm#kii,ON-conc-k-full.htm
694,He kino pāpālua.,A dual-formed person.,"Said of a supernatural being having two or more forms, or of one who is “possessed” by intoxicants.",haw-k.htm#kino,ON-conc-k-full.htm
695,He kiu ka pua kukui na ka makani.,The kukui blossoms are a sign of wind.,"When the kukui trees shed their blossoms, a strong wind is blowing.",haw-k.htm#kiu,ON-conc-k-full.htm
696,"He koaʻe, manu o ka pali kahakō.","It is the koaʻe, bird of the sheer cliffs.",An expression of admiration for an outstanding person. The koaʻe build their nests on cliffs.,haw-k.htm#kahako,ON-conc-k-full.htm
697,He koa ka mea hele hoʻokahi i ʻOʻopuloa.,Only a warrior dares to go alone to ʻOʻopuloa.,"Said of a venture fit only for the brave. The way to ʻOʻopuloa, Maui, was feared because of robbers.",haw-h.htm#hookahi,ON-conc-h-full.htm
698,He koaiʻe.,A koaiʻe tree.,A humorous epithet for an upland country person.,haw-k.htm#koaie,ON-conc-k-full.htm
699,"He koʻe ka pule a kahuna, he moe nō a ʻoni mai.",The prayer of a kahuna is like a worm; it may lie dormant but it will wriggle along.,"Though the prayer of a kahuna may not take effect at once, it will in time.",haw-k.htm#kahuna,ON-conc-k-full.htm
700,He koholua ʻoi ke aliʻi.,A sharp-pointed piercing implement is the chief.,A warning that one who tampers with a chief will be hurt.,haw-k.htm#koholua,ON-conc-k-full.htm
701,He kohu puahiohio i ka hoʻolele i ka lepo i luna.,"Like a whirlwind, whirling the dust upward.",Said of a commoner who makes an attempt to elevate himself so he will be regarded as a chief.,haw-h.htm#hoolele,ON-conc-h-full.htm
702,He koʻokoʻo haki wale.,A staff that breaks easily.,A weak leader.,haw-h.htm#haki,ON-conc-h-full.htm
703,"He koali, he pākaʻawili.","He is like a morning-glory vine, twisting this way and that.","Said of an unstable, changeable person who says one thing now and another thing later.",haw-k.htm#koali,ON-conc-k-full.htm
704,He kua ʻā.,An ignited back.,Said of a person whose back is so kapu that no one is permitted to walk behind him.,haw-a.htm#a,ON-conc-a-full.htm
705,"He kuapuʻu no a he kuapuʻu, like ka ʻōlelo ana.",A hunchback and a hunchback have the same things to talk ahout.,Equals speak the same language and understand each other.,haw-k.htm#kuapuu,ON-conc-k-full.htm
706,He kui nao hemo ʻole i ke kala.,A screw that a screwdriver can not remove.,A fixed idea in a stubbom mind; something that nothing can undo.,haw-h.htm#hemo,ON-conc-h-full.htm
707,He kūkae kā ke kahu hānai.,Excrement belongs to foster parents.,Said in anger when a foster child shows ingratitude or when his own parents take him away from those who reared him.,haw-k.htm#kahu,ON-conc-k-full.htm
